title,word,frequency
Twelfth Night,runs,3
Twelfth Night,secret,3
Twelfth Night,sexuality,3
Twelfth Night,sister,3
Twelfth Night,situation,3
Twelfth Night,socially,3
Twelfth Night,status,3
Twelfth Night,suddenly,3
Twelfth Night,take,3
Twelfth Night,thou,3
Twelfth Night,times,3
Twelfth Night,traditional,3
Twelfth Night,transvestite,3
Twelfth Night,triangle,3
Twelfth Night,true,3
Twelfth Night,voice,3
Twelfth Night,wishes,3
Twelfth Night,without,3
Twelfth Night,words,3
Twelfth Night,writer,3
Twelfth Night,3,2
Twelfth Night,5,2
Twelfth Night,absorbed,2
Twelfth Night,achieve,2
Twelfth Night,acknowledges,2
Twelfth Night,actor,2
Twelfth Night,address,2
Twelfth Night,addressed,2
Twelfth Night,agrees,2
Twelfth Night,alone,2
Twelfth Night,along,2
Twelfth Night,ambitions,2
Twelfth Night,ambitious,2
Twelfth Night,androgynous,2
Twelfth Night,apparent,2
Twelfth Night,apparently,2
Twelfth Night,appearances,2
Twelfth Night,appears,2
Twelfth Night,art,2
Twelfth Night,artistic,2
Twelfth Night,assumes,2
Twelfth Night,attempts,2
Twelfth Night,attention,2
Twelfth Night,attracted,2
Twelfth Night,attraction,2
Twelfth Night,audience,2
Twelfth Night,begs,2
Twelfth Night,behind,2
Twelfth Night,beloved,2
Twelfth Night,better,2
Twelfth Night,black,2
Twelfth Night,blood,2
Twelfth Night,born,2
Twelfth Night,boundaries,2
Twelfth Night,breaks,2
Twelfth Night,bro,2
Twelfth Night,brow,2
Twelfth Night,buddy,2
Twelfth Night,carnival,2
Twelfth Night,carousing,2
Twelfth Night,case,2
Twelfth Night,catches,2
Twelfth Night,category,2
Twelfth Night,centering,2
Twelfth Night,claim,2
Twelfth Night,clear,2
Twelfth Night,clergyman,2
Twelfth Night,clever,2
Twelfth Night,clothes,2
Twelfth Night,clown,2
Twelfth Night,coast,2
Twelfth Night,come,2
Twelfth Night,comedies,2
Twelfth Night,comedy,2
Twelfth Night,common,2
Twelfth Night,compared,2
